start,end,pose,word,confidence
0.120000,0.160000,22_MBP,barbados,1.0
0.160000,0.200000,07_Aa,barbados,1.0
0.400000,0.550000,06_Eh,barbados,1.0
0.590000,0.730000,09_Oh,barbados,1.0
0.840000,0.960000,05_Ay,is,1.0
1.060000,1.210000,20_FV,famous,1.0
1.210000,1.360000,06_Eh,famous,1.0
1.360000,1.430000,22_MBP,famous,1.0
1.590000,1.680000,20_FV,for,1.0
1.680000,1.720000,09_Oh,for,1.0
1.780000,1.820000,03_Ee,its,1.0
1.920000,2.040000,22_MBP,beaches,1.0
2.040000,2.160000,03_Ee,beaches,1.0
2.160000,2.250000,14_ChJjSh,beaches,1.0
2.430000,2.540000,07_Aa,and,1.0
2.690000,2.760000,07_Aa,hospitality,1.0
2.850000,2.910000,22_MBP,hospitality,1.0
3.070000,3.170000,07_Aa,hospitality,1.0
3.350000,3.530000,03_Ee,hospitality,1.0
