start,end,pose,word,confidence
0.300000,0.380000,03_Ee,indonesia's,1.0
0.490000,0.520000,09_Oh,indonesia's,1.0
0.600000,0.730000,03_Ee,indonesia's,1.0
0.730000,0.810000,14_ChJjSh,indonesia's,1.0
1.146500,1.281500,07_Aa,satay,1.0
1.291500,1.426500,06_Eh,satay,1.0
1.520000,1.630000,05_Ay,is,1.0
1.710000,2.460000,20_FV,flavorful,1.0
1.881500,2.016500,06_Eh,flavorful,1.0
2.740000,2.920000,12_Ww-Oo-,want,1.0
2.920000,2.990000,07_Aa,want,1.0
3.050000,3.100000,07_Aa,a,1.0
3.240000,3.350000,07_Aa,sandwich,1.0
3.450000,3.490000,12_Ww-Oo-,sandwich,1.0
3.490000,3.590000,14_ChJjSh,sandwich,1.0
3.590000,3.620000,12_Ww-Oo-,with,1.0
3.620000,3.670000,03_Ee,with,1.0
3.750000,3.840000,22_MBP,peanut,1.0
3.840000,3.910000,03_Ee,peanut,1.0
4.120000,4.300000,09_Oh,sauce,1.0
