start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.040000,0.090000,22_MBP,bulgaria,1.0,0,0,0
0.300000,0.330000,06_Eh,bulgaria,1.0,0,0,0
0.430000,0.520000,03_Ee,bulgaria,1.0,0,0,0
0.710000,0.880000,07_Aa,has,1.0,1,0,0
1.000000,1.070000,07_Aa,the,1.0,2,0,0
1.106500,1.241500,06_Eh,rila,1.0,3,0,0
1.450000,1.520000,22_MBP,monastery,1.0,4,0,0
1.520000,1.630000,07_Aa,monastery,1.0,4,0,0
1.870000,1.940000,06_Eh,monastery,1.0,4,0,0
2.060000,2.200000,03_Ee,monastery,1.0,4,0,0
2.230000,2.330000,07_Aa,and,1.0,5,0,0
2.480000,2.520000,22_MBP,beautiful,1.0,6,0,0
2.670000,2.750000,11_Oo,beautiful,1.0,6,0,0
2.830000,2.890000,20_FV,beautiful,1.0,6,0,0
2.990000,3.070000,22_MBP,black,1.0,7,0,0
3.150000,3.260000,07_Aa,black,1.0,7,0,0
3.430000,3.530000,03_Ee,sea,1.0,8,0,0
3.530000,3.610000,22_MBP,beaches,1.0,9,0,0
3.610000,3.720000,03_Ee,beaches,1.0,9,0,0
3.720000,3.810000,14_ChJjSh,beaches,1.0,9,0,0
5.490000,5.610000,03_Ee,need,1.0,10,1,1
5.650000,5.710000,06_Eh,anything,1.0,11,1,1
5.760000,5.820000,03_Ee,anything,1.0,11,1,1
6.000000,6.070000,06_Eh,else,1.0,12,1,1
