start,end,pose,word,confidence
0.321500,0.456500,07_Aa,azerbaijan,1.0
0.602500,0.707500,22_MBP,azerbaijan,1.0
0.729000,0.839000,05_Ay,azerbaijan,1.0
0.804500,0.899500,14_ChJjSh,azerbaijan,1.0
0.901500,1.036500,07_Aa,azerbaijan,1.0
1.171500,1.306500,07_Aa,has,1.0
1.426500,1.561500,07_Aa,the,1.0
1.541500,1.676500,12_Ww-Oo-,world's,1.0
1.636500,1.771500,06_Eh,world's,1.0
1.930000,2.030000,20_FV,first,1.0
2.036500,2.171500,06_Eh,first,1.0
2.262500,2.367500,22_MBP,mud,1.0
2.361500,2.496500,07_Aa,mud,1.0
2.465000,2.565000,20_FV,volcano,1.0
2.556500,2.691500,07_Aa,volcano,1.0
2.831500,2.966500,06_Eh,volcano,1.0
3.081500,3.216500,09_Oh,volcano,1.0
