start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.260000,0.340000,09_Oh,australia,1.0,0,0,0
0.580000,0.660000,06_Eh,australia,1.0,0,0,0
1.000000,1.130000,07_Aa,has,1.0,1,0,0
1.230000,1.300000,07_Aa,the,1.0,2,0,0
1.400000,1.520000,09_Oh,longest,1.0,3,0,0
1.830000,1.920000,09_Oh,coastline,1.0,4,0,0
2.080000,2.200000,05_Ay,coastline,1.0,4,0,0
2.240000,2.290000,07_Aa,of,1.0,5,0,0
2.290000,2.350000,20_FV,of,1.0,5,0,0
2.380000,2.490000,06_Eh,any,1.0,6,0,0
2.530000,2.600000,03_Ee,any,1.0,6,0,0
2.690000,2.750000,07_Aa,country,1.0,7,0,0
2.910000,2.970000,03_Ee,country,1.0,7,0,0
2.970000,3.010000,03_Ee,in,1.0,8,0,0
3.070000,3.100000,07_Aa,the,1.0,9,0,0
3.100000,3.200000,12_Ww-Oo-,world,1.0,10,0,0
3.200000,3.330000,06_Eh,world,1.0,10,0,0
