start,end,pose,word,confidence
0.089000,0.199000,05_Ay,cyprus,1.0
0.162500,0.267500,22_MBP,cyprus,1.0
0.571500,0.706500,07_Aa,has,1.0
0.692500,0.797500,22_MBP,beautiful,1.0
0.861500,0.996500,11_Oo,beautiful,1.0
1.025000,1.125000,20_FV,beautiful,1.0
1.217500,1.322500,22_MBP,beaches,1.0
1.341500,1.476500,03_Ee,beaches,1.0
1.434500,1.529500,14_ChJjSh,beaches,1.0
1.826500,1.961500,07_Aa,and,1.0
2.151500,2.286500,03_Ee,rich,1.0
2.224500,2.319500,14_ChJjSh,rich,1.0
2.341500,2.476500,03_Ee,history,1.0
