start,end,pose,word,confidence
0.160000,0.270000,22_MBP,spelled,1.0
0.270000,0.340000,06_Eh,spelled,1.0
0.510000,0.660000,07_Aa,that,1.0
0.850000,1.080000,09_Oh,wrong,1.0
1.280000,1.360000,03_Ee,didn't,1.0
1.570000,1.750000,11_Oo,you,1.0
2.520000,2.660000,05_Ay,try,1.0
2.840000,3.090000,06_Eh,again,1.0
3.600000,3.660000,09_Oh,or,1.0
3.710000,3.780000,22_MBP,maybe,1.0
3.780000,3.870000,06_Eh,maybe,1.0
3.920000,3.990000,03_Ee,maybe,1.0
3.990000,4.050000,07_Aa,a,1.0
4.160000,4.310000,07_Aa,sandwich,1.0
4.420000,4.520000,12_Ww-Oo-,sandwich,1.0
4.520000,4.790000,14_ChJjSh,sandwich,1.0
