start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.866500,1.001500,06_Eh,eswatini,1.0,0,0,0
1.870000,1.950000,07_Aa,has,1.0,1,0,0
2.180000,2.380000,09_Oh,royal,1.0,2,0,0
2.430000,2.550000,22_MBP,palaces,1.0,3,0,0
2.550000,2.680000,07_Aa,palaces,1.0,3,0,0
3.080000,3.150000,07_Aa,and,1.0,4,0,0
3.380000,3.480000,07_Aa,lush,1.0,5,0,0
3.480000,3.610000,14_ChJjSh,lush,1.0,5,0,0
3.700000,3.840000,07_Aa,landscapes,1.0,6,0,0
4.200000,4.250000,06_Eh,landscapes,1.0,6,0,0
4.250000,4.350000,22_MBP,landscapes,1.0,6,0,0
4.640000,4.770000,12_Ww-Oo-,want,1.0,7,1,1
4.770000,4.840000,07_Aa,want,1.0,7,1,1
4.890000,4.930000,11_Oo,to,1.0,8,1,1
5.080000,5.170000,05_Ay,try,1.0,9,1,1
5.280000,5.310000,07_Aa,some,1.0,10,1,1
5.310000,5.370000,22_MBP,some,1.0,10,1,1
5.370000,5.490000,14_ChJjSh,chips,1.0,11,1,1
5.490000,5.620000,03_Ee,chips,1.0,11,1,1
5.620000,5.690000,22_MBP,chips,1.0,11,1,1
