start,end,pose,word,confidence
0.210000,0.260000,07_Aa,the,1.0
0.260000,0.360000,22_MBP,maple,1.0
0.360000,0.450000,06_Eh,maple,1.0
0.760000,0.900000,06_Eh,syrup,1.0
0.960000,1.050000,22_MBP,syrup,1.0
1.340000,1.400000,07_Aa,the,1.0
1.520000,1.640000,06_Eh,lakes,1.0
2.060000,2.100000,07_Aa,and,1.0
2.190000,2.220000,07_Aa,the,1.0
2.310000,2.400000,09_Oh,northern,1.0
2.700000,2.820000,05_Ay,lights,1.0
3.770000,3.890000,03_Ee,need,1.0
3.940000,4.000000,06_Eh,anything,1.0
4.040000,4.100000,03_Ee,anything,1.0
4.280000,4.340000,06_Eh,else,1.0
