start,end,pose,word,confidence
0.110000,0.160000,03_Ee,iran's,1.0
0.300000,0.460000,07_Aa,iran's,1.0
0.767500,0.872500,22_MBP,kebab,1.0
0.861500,0.996500,07_Aa,kebab,1.0
1.100000,1.150000,05_Ay,is,1.0
1.230000,1.970000,20_FV,flavorful,1.0
1.356500,1.491500,06_Eh,flavorful,1.0
2.320000,2.400000,12_Ww-Oo-,want,1.0
2.400000,2.440000,07_Aa,want,1.0
2.500000,2.540000,07_Aa,a,1.0
2.660000,2.780000,07_Aa,sandwich,1.0
2.890000,2.950000,12_Ww-Oo-,sandwich,1.0
2.950000,3.190000,14_ChJjSh,sandwich,1.0
