start,end,pose,word,confidence
0.220000,0.260000,07_Aa,albania,1.0
0.370000,0.470000,22_MBP,albania,1.0
0.470000,0.620000,06_Eh,albania,1.0
0.670000,0.770000,03_Ee,albania,1.0
0.900000,0.980000,05_Ay,is,1.0
1.160000,1.310000,09_Oh,home,1.0
1.310000,1.380000,22_MBP,home,1.0
1.450000,1.490000,11_Oo,to,1.0
1.540000,1.640000,07_Aa,the,1.0
1.690000,1.730000,09_Oh,oldest,1.0
2.130000,2.240000,07_Aa,olive,1.0
2.360000,2.410000,20_FV,olive,1.0
2.580000,2.670000,03_Ee,tree,1.0
2.670000,2.710000,03_Ee,in,1.0
2.780000,2.830000,07_Aa,the,1.0
2.830000,2.950000,12_Ww-Oo-,world,1.0
2.950000,3.070000,06_Eh,world,1.0
3.800000,3.880000,06_Eh,said,1.0
3.990000,4.030000,11_Oo,to,1.0
4.030000,4.100000,22_MBP,be,1.0
4.100000,4.270000,03_Ee,be,1.0
4.270000,4.400000,09_Oh,over,1.0
4.400000,4.470000,20_FV,over,1.0
4.996500,5.131500,06_Eh,4,1.0
5.086500,5.221500,06_Eh,000,1.0
5.310000,5.390000,03_Ee,years,1.0
5.540000,5.630000,09_Oh,old,1.0
