start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.320000,0.440000,07_Aa,gambia,1.0,0,0,0
0.440000,0.490000,22_MBP,gambia,1.0,0,0,0
0.540000,0.630000,03_Ee,gambia,1.0,0,0,0
0.740000,0.870000,05_Ay,is,1.0,1,0,0
1.060000,1.220000,09_Oh,known,1.0,2,0,0
1.270000,1.370000,20_FV,for,1.0,3,0,0
1.370000,1.410000,09_Oh,for,1.0,3,0,0
1.440000,1.480000,03_Ee,its,1.0,4,0,0
1.590000,1.680000,22_MBP,beaches,1.0,5,0,0
1.680000,1.770000,03_Ee,beaches,1.0,5,0,0
1.770000,1.870000,14_ChJjSh,beaches,1.0,5,0,0
2.140000,2.210000,07_Aa,and,1.0,6,0,0
2.310000,2.400000,20_FV,friendly,1.0,7,0,0
2.440000,2.480000,06_Eh,friendly,1.0,7,0,0
2.590000,2.650000,03_Ee,friendly,1.0,7,0,0
2.650000,2.750000,22_MBP,people,1.0,8,0,0
2.750000,2.830000,03_Ee,people,1.0,8,0,0
3.880000,3.970000,12_Ww-Oo-,want,1.0,9,1,1
3.970000,4.020000,07_Aa,want,1.0,9,1,1
4.080000,4.110000,07_Aa,a,1.0,10,1,1
4.280000,4.380000,07_Aa,snack,1.0,11,1,1
4.510000,4.540000,11_Oo,to,1.0,12,1,1
4.600000,4.820000,09_Oh,go,1.0,13,1,1
