start,end,pose,word,confidence
0.200000,0.610000,14_ChJjSh,djibouti,1.0
0.252500,0.357500,22_MBP,djibouti,1.0
0.366500,0.501500,11_Oo,djibouti,1.0
0.536500,0.671500,03_Ee,djibouti,1.0
0.670000,0.780000,07_Aa,has,1.0
0.840000,0.940000,22_MBP,beautiful,1.0
1.040000,1.110000,11_Oo,beautiful,1.0
1.180000,1.250000,20_FV,beautiful,1.0
1.520000,1.630000,09_Oh,coastal,1.0
1.840000,1.890000,20_FV,views,1.0
1.990000,2.090000,11_Oo,views,1.0
2.150000,2.280000,07_Aa,and,1.0
2.400000,2.460000,11_Oo,unique,1.0
2.550000,2.640000,03_Ee,unique,1.0
2.810000,2.870000,07_Aa,culture,1.0
2.930000,3.050000,14_ChJjSh,culture,1.0
3.820000,3.930000,12_Ww-Oo-,want,1.0
3.930000,3.980000,07_Aa,want,1.0
4.070000,4.110000,11_Oo,to,1.0
4.240000,4.320000,05_Ay,try,1.0
4.410000,4.440000,07_Aa,some,1.0
4.440000,4.500000,22_MBP,some,1.0
4.500000,4.630000,14_ChJjSh,chips,1.0
4.630000,4.750000,03_Ee,chips,1.0
4.750000,4.820000,22_MBP,chips,1.0
