start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.240000,0.320000,07_Aa,andorra,1.0,0,0,0
0.470000,0.600000,09_Oh,andorra,1.0,0,0,0
0.850000,0.930000,05_Ay,is,1.0,1,0,0
1.030000,1.140000,07_Aa,the,1.0,2,0,0
1.180000,1.320000,09_Oh,only,1.0,3,0,0
1.420000,1.480000,03_Ee,only,1.0,3,0,0
1.600000,1.660000,07_Aa,country,1.0,4,0,0
1.850000,1.930000,03_Ee,country,1.0,4,0,0
1.930000,1.980000,03_Ee,in,1.0,5,0,0
2.050000,2.090000,07_Aa,the,1.0,6,0,0
2.090000,2.200000,12_Ww-Oo-,world,1.0,7,0,0
2.200000,2.310000,06_Eh,world,1.0,7,0,0
2.480000,2.540000,12_Ww-Oo-,where,1.0,8,0,0
2.540000,2.570000,06_Eh,where,1.0,8,0,0
2.650000,2.690000,07_Aa,the,1.0,9,0,0
2.690000,2.780000,22_MBP,most,1.0,10,0,0
2.780000,2.860000,09_Oh,most,1.0,10,0,0
3.120000,3.220000,07_Aa,common,1.0,11,0,0
3.220000,3.280000,22_MBP,common,1.0,11,0,0
3.510000,3.610000,06_Eh,surname,1.0,12,0,0
3.810000,3.940000,22_MBP,surname,1.0,12,0,0
4.140000,4.220000,22_MBP,martinez,1.0,13,1,0
4.220000,4.250000,07_Aa,martinez,1.0,13,1,0
4.450000,4.530000,03_Ee,martinez,1.0,13,1,0
4.570000,4.740000,06_Eh,martinez,1.0,13,1,0
5.290000,5.360000,05_Ay,is,1.0,14,2,0
5.430000,5.510000,09_Oh,also,1.0,15,2,0
5.800000,5.850000,07_Aa,the,1.0,16,2,0
5.950000,6.120000,06_Eh,name,1.0,17,2,0
6.120000,6.170000,22_MBP,name,1.0,17,2,0
6.170000,6.230000,07_Aa,of,1.0,18,2,0
6.230000,6.280000,20_FV,of,1.0,18,2,0
6.280000,6.320000,07_Aa,a,1.0,19,2,0
6.450000,6.640000,07_Aa,town,1.0,20,2,0
