start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.030000,0.140000,12_Ww-Oo-,we've,1.0,0,0,0
0.140000,0.250000,03_Ee,we've,1.0,0,0,0
0.250000,0.370000,20_FV,we've,1.0,0,0,0
0.420000,0.580000,07_Aa,got,1.0,1,0,0
0.810000,0.980000,07_Aa,sandwiches,1.0,2,0,0
1.110000,1.150000,12_Ww-Oo-,sandwiches,1.0,2,0,0
1.260000,1.380000,14_ChJjSh,sandwiches,1.0,2,0,0
1.460000,1.560000,20_FV,for,1.0,3,0,0
1.560000,1.590000,09_Oh,for,1.0,3,0,0
1.650000,1.860000,20_FV,five,1.0,4,0,0
1.860000,2.120000,05_Ay,five,1.0,4,0,0
2.270000,2.440000,07_Aa,dollars,1.0,5,0,0
2.710000,2.760000,07_Aa,and,1.0,6,0,0
2.860000,3.000000,14_ChJjSh,chips,1.0,7,0,0
3.000000,3.120000,03_Ee,chips,1.0,7,0,0
3.120000,3.200000,22_MBP,chips,1.0,7,0,0
3.300000,3.400000,20_FV,for,1.0,8,0,0
3.400000,3.470000,09_Oh,for,1.0,8,0,0
3.640000,3.920000,11_Oo,two,1.0,9,0,0
4.490000,4.530000,12_Ww-Oo-,what'll,1.0,10,1,1
4.530000,4.650000,07_Aa,what'll,1.0,10,1,1
4.860000,4.920000,03_Ee,it,1.0,11,1,1
4.980000,5.020000,22_MBP,be,1.0,12,1,1
5.020000,5.340000,03_Ee,be,1.0,12,1,1
