Metric,Value
CaseId,case_000125
Transcript,"Uruguay is the birthplace of the chimichurri sauce, a staple in Argentine and Uruguayan cuisine."
PlannedEventCount,34
CommittedEventCount,34
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.03161
EstimatedTextDurationSec,7.65072
AudioDurationSec,6.29688
EffectiveSegmentScaleMax,1.28476
ScaleCapHitCount,0
CommitLeadMeanSec,0.0917609
MaxVisiblePoseGapSec,0.966676
VisiblePoseGapCountOver250ms,3
