index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,22_MBP,dominican,0,0,0,0.039683,1.000000,M,2,cmu_bilabial
1,03_Ee,dominican,0,0,0,0.055556,0.920000,IH,3,cmu_front_vowel
2,03_Ee,republic,1,0,0,0.165179,0.500000,IY,1,cmu_front_vowel
3,22_MBP,republic,1,0,0,0.180060,1.000000,P,2,cmu_bilabial
4,07_Aa,republic,1,0,0,0.194940,0.920000,AH,3,cmu_open_vowel
5,07_Aa,has,2,0,0,0.285714,0.920000,AE,1,cmu_open_vowel
6,22_MBP,beautiful,3,0,0,0.316964,1.000000,B,0,cmu_bilabial
7,11_Oo,beautiful,3,0,0,0.346726,0.920000,UW,2,cmu_oo_vowel
8,20_FV,beautiful,3,0,0,0.391369,0.960000,F,5,cmu_fv
9,22_MBP,beaches,4,0,0,0.435714,1.000000,B,0,cmu_bilabial
10,03_Ee,beaches,4,0,0,0.450000,0.920000,IY,1,cmu_front_vowel
11,14_ChJjSh,beaches,4,0,0,0.464286,0.820000,CH,2,cmu_affricate_sibilant
12,07_Aa,and,5,0,0,0.507937,0.500000,AH,0,cmu_open_vowel
13,03_Ee,rich,6,0,0,0.571429,0.920000,IH,1,cmu_front_vowel
14,14_ChJjSh,rich,6,0,0,0.587302,0.820000,CH,2,cmu_affricate_sibilant
15,03_Ee,history,7,0,0,0.625000,0.920000,IH,1,cmu_front_vowel
16,12_Ww-Oo-,want,8,1,1,0.720238,0.880000,W,0,cmu_w
17,07_Aa,want,8,1,1,0.732143,0.920000,AA,1,cmu_open_vowel
18,11_Oo,to,9,1,1,0.797619,0.920000,UW,1,cmu_oo_vowel
19,05_Ay,try,10,1,1,0.849206,0.940000,AY,2,cmu_ay
20,07_Aa,a,11,1,1,0.880952,0.500000,AH,0,cmu_open_vowel
21,07_Aa,sandwich,12,1,1,0.925170,0.920000,AE,1,cmu_open_vowel
22,12_Ww-Oo-,sandwich,12,1,1,0.965986,0.880000,W,4,cmu_w
23,14_ChJjSh,sandwich,12,1,1,0.992789,0.820000,CH,6,cmu_affricate_sibilant
