index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,03_Ee,iran's,0,0,0,0.017143,0.920000,IH,0,cmu_front_vowel
1,07_Aa,iran's,0,0,0,0.071429,0.920000,AE,2,cmu_open_vowel
2,22_MBP,kebab,1,0,0,0.214286,1.000000,B,2,cmu_bilabial
3,07_Aa,kebab,1,0,0,0.242857,0.920000,AA,3,cmu_open_vowel
4,05_Ay,is,2,0,0,0.309524,0.940000,AY,0,cmu_ay
5,20_FV,flavorful,3,0,0,0.395833,0.960000,F,0,cmu_fv
6,06_Eh,flavorful,3,0,0,0.455357,0.920000,EY,2,cmu_eh_vowel
7,12_Ww-Oo-,want,4,1,1,0.630952,0.880000,W,0,cmu_w
8,07_Aa,want,4,1,1,0.654762,0.920000,AA,1,cmu_open_vowel
9,07_Aa,a,5,1,1,0.761905,0.500000,AH,0,cmu_open_vowel
10,07_Aa,sandwich,6,1,1,0.850340,0.920000,AE,1,cmu_open_vowel
11,12_Ww-Oo-,sandwich,6,1,1,0.931973,0.880000,W,4,cmu_w
12,14_ChJjSh,sandwich,6,1,1,0.985578,0.820000,CH,6,cmu_affricate_sibilant
