Metric,Value
CaseId,case_000012
Transcript,"Alright, let's keep it serious. What kind of sandwich are you in the mood for?"
PlannedEventCount,25
CommittedEventCount,25
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.06752
EstimatedTextDurationSec,3.20242
AudioDurationSec,3.81687
EffectiveSegmentScaleMax,1.78524
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0446788
MaxVisiblePoseGapSec,0.25
VisiblePoseGapCountOver250ms,0
