word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,red,1,orange,",",",",soft_pause,0,none,0.080000,0.080000,0.080000,0.080000,0,0
1,orange,2,yellow,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,yellow,3,green,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,green,4,blue,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,blue,5,indigo,",",",",soft_pause,0,none,0.030000,0.030000,0.030000,0.030000,0,0
5,indigo,6,violet,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,violet,7,though,.,.,region_break,1,hard_punctuation_with_lull,0.230000,0.230000,0.230000,0.230000,0,1
7,though,8,i,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,i,9,think,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,think,10,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,you,11,might,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,might,12,be,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,be,13,daydreaming,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
