Metric,Value
CaseId,case_000160
Transcript,"Germany is home to the Oktoberfest, the world's largest beer festival."
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,12.0747
EstimatedTextDurationSec,2.60998
AudioDurationSec,4.29688
EffectiveSegmentScaleMax,1.3045
ScaleCapHitCount,0
CommitLeadMeanSec,0.0715898
MaxVisiblePoseGapSec,0.326669
VisiblePoseGapCountOver250ms,1
