Metric,Value
CaseId,case_000006
Transcript,"I won't give you a free sandwich, Matthew. But I'll make sure to check the bathroom right now."
PlannedEventCount,33
CommittedEventCount,33
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.2567
EstimatedTextDurationSec,4.37877
AudioDurationSec,4.13688
EffectiveSegmentScaleMax,1.45209
ScaleCapHitCount,0
CommitLeadMeanSec,0.103138
MaxVisiblePoseGapSec,0.25
VisiblePoseGapCountOver250ms,0
