case_id,origin,speaker_id,recipe_id,recipe_role,voice_id,seed,line_id,category,transcript,wav,gold,gold_ready,source_uri
case_0001_20260629_093726_076_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000000_00,recorded,alfie,existing_corpus_v1,recreation,lana,274787043,,,inputs/transcripts/case_0001_20260629_093726_076_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000000_00.txt,inputs/wav/case_0001_20260629_093726_076_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000000_00.wav,inputs/gold/case_0001_20260629_093726_076_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000000_00,1,
case_0002_20260629_093744_269_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000001_00,recorded,alfie,existing_corpus_v1,recreation,priestley,913569036,,,inputs/transcripts/case_0002_20260629_093744_269_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000001_00.txt,inputs/wav/case_0002_20260629_093744_269_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000001_00.wav,inputs/gold/case_0002_20260629_093744_269_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000001_00,1,
case_0003_20260629_093754_099_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000002_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,2015864515,,,inputs/transcripts/case_0003_20260629_093754_099_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000002_00.txt,inputs/wav/case_0003_20260629_093754_099_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000002_00.wav,inputs/gold/case_0003_20260629_093754_099_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000002_00,1,
case_0004_20260629_093801_432_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000003_00,recorded,alfie,existing_corpus_v1,recreation,lana,146041084,,,inputs/transcripts/case_0004_20260629_093801_432_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000003_00.txt,inputs/wav/case_0004_20260629_093801_432_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000003_00.wav,inputs/gold/case_0004_20260629_093801_432_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000003_00,1,
case_0005_20260629_093809_845_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000004_00,recorded,alfie,existing_corpus_v1,recreation,alfie,630914209,,,inputs/transcripts/case_0005_20260629_093809_845_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000004_00.txt,inputs/wav/case_0005_20260629_093809_845_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000004_00.wav,inputs/gold/case_0005_20260629_093809_845_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000004_00,1,
case_0006_20260629_093822_552_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000005_00,recorded,alfie,existing_corpus_v1,recreation,lana,1671647505,,,inputs/transcripts/case_0006_20260629_093822_552_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000005_00.txt,inputs/wav/case_0006_20260629_093822_552_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000005_00.wav,inputs/gold/case_0006_20260629_093822_552_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000005_00,1,
case_0007_20260629_093832_958_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000006_00,recorded,alfie,existing_corpus_v1,recreation,alfie,783204763,,,inputs/transcripts/case_0007_20260629_093832_958_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000006_00.txt,inputs/wav/case_0007_20260629_093832_958_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000006_00.wav,inputs/gold/case_0007_20260629_093832_958_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000006_00,1,
case_0008_20260629_093851_414_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000007_00,recorded,alfie,existing_corpus_v1,recreation,priestley,1641915112,,,inputs/transcripts/case_0008_20260629_093851_414_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000007_00.txt,inputs/wav/case_0008_20260629_093851_414_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000007_00.wav,inputs/gold/case_0008_20260629_093851_414_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000007_00,1,
case_0009_20260629_093901_441_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000008_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,1624983762,,,inputs/transcripts/case_0009_20260629_093901_441_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000008_00.txt,inputs/wav/case_0009_20260629_093901_441_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000008_00.wav,inputs/gold/case_0009_20260629_093901_441_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000008_00,1,
case_0010_20260629_093912_121_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000009_00,recorded,alfie,existing_corpus_v1,recreation,lana,2011517218,,,inputs/transcripts/case_0010_20260629_093912_121_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000009_00.txt,inputs/wav/case_0010_20260629_093912_121_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000009_00.wav,inputs/gold/case_0010_20260629_093912_121_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000009_00,1,
case_0011_20260629_093922_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000010_00,recorded,alfie,existing_corpus_v1,recreation,lana,521079213,,,inputs/transcripts/case_0011_20260629_093922_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000010_00.txt,inputs/wav/case_0011_20260629_093922_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000010_00.wav,inputs/gold/case_0011_20260629_093922_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000010_00,1,
case_0012_20260629_093929_211_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000011_00,recorded,alfie,existing_corpus_v1,recreation,priestley,1096098226,,,inputs/transcripts/case_0012_20260629_093929_211_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000011_00.txt,inputs/wav/case_0012_20260629_093929_211_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000011_00.wav,inputs/gold/case_0012_20260629_093929_211_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000011_00,1,
case_0013_20260629_093937_130_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000012_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,1103906128,,,inputs/transcripts/case_0013_20260629_093937_130_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000012_00.txt,inputs/wav/case_0013_20260629_093937_130_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000012_00.wav,inputs/gold/case_0013_20260629_093937_130_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000012_00,1,
case_0014_20260629_093947_935_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000013_00,recorded,alfie,existing_corpus_v1,recreation,priestley,1001316242,,,inputs/transcripts/case_0014_20260629_093947_935_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000013_00.txt,inputs/wav/case_0014_20260629_093947_935_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000013_00.wav,inputs/gold/case_0014_20260629_093947_935_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000013_00,1,
case_0015_20260629_093954_282_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000014_00,recorded,alfie,existing_corpus_v1,recreation,lana,272532610,,,inputs/transcripts/case_0015_20260629_093954_282_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000014_00.txt,inputs/wav/case_0015_20260629_093954_282_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000014_00.wav,inputs/gold/case_0015_20260629_093954_282_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000014_00,1,
case_0016_20260629_094001_338_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000015_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,1724186326,,,inputs/transcripts/case_0016_20260629_094001_338_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000015_00.txt,inputs/wav/case_0016_20260629_094001_338_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000015_00.wav,inputs/gold/case_0016_20260629_094001_338_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000015_00,1,
case_0017_20260629_094007_645_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000016_00,recorded,alfie,existing_corpus_v1,recreation,alfie,1064582016,,,inputs/transcripts/case_0017_20260629_094007_645_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000016_00.txt,inputs/wav/case_0017_20260629_094007_645_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000016_00.wav,inputs/gold/case_0017_20260629_094007_645_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000016_00,1,
case_0018_20260629_094015_208_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000017_00,recorded,alfie,existing_corpus_v1,recreation,lana,1888722253,,,inputs/transcripts/case_0018_20260629_094015_208_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000017_00.txt,inputs/wav/case_0018_20260629_094015_208_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000017_00.wav,inputs/gold/case_0018_20260629_094015_208_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000017_00,1,
case_0019_20260629_094021_972_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000018_00,recorded,alfie,existing_corpus_v1,recreation,alfie,942011153,,,inputs/transcripts/case_0019_20260629_094021_972_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000018_00.txt,inputs/wav/case_0019_20260629_094021_972_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000018_00.wav,inputs/gold/case_0019_20260629_094021_972_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000018_00,1,
case_0020_20260629_094125_260_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000019_00,recorded,alfie,existing_corpus_v1,recreation,priestley,90831137,,,inputs/transcripts/case_0020_20260629_094125_260_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000019_00.txt,inputs/wav/case_0020_20260629_094125_260_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000019_00.wav,inputs/gold/case_0020_20260629_094125_260_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000019_00,1,
case_0021_20260629_094131_827_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000020_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,589978982,,,inputs/transcripts/case_0021_20260629_094131_827_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000020_00.txt,inputs/wav/case_0021_20260629_094131_827_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000020_00.wav,inputs/gold/case_0021_20260629_094131_827_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000020_00,1,
case_0022_20260629_094140_141_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000021_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,464187999,,,inputs/transcripts/case_0022_20260629_094140_141_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000021_00.txt,inputs/wav/case_0022_20260629_094140_141_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000021_00.wav,inputs/gold/case_0022_20260629_094140_141_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000021_00,1,
case_0023_20260629_094147_704_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000022_00,recorded,alfie,existing_corpus_v1,recreation,priestley,708330459,,,inputs/transcripts/case_0023_20260629_094147_704_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000022_00.txt,inputs/wav/case_0023_20260629_094147_704_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000022_00.wav,inputs/gold/case_0023_20260629_094147_704_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000022_00,1,
case_0024_20260629_094154_366_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000023_00,recorded,alfie,existing_corpus_v1,recreation,priestley,2101354192,,,inputs/transcripts/case_0024_20260629_094154_366_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000023_00.txt,inputs/wav/case_0024_20260629_094154_366_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000023_00.wav,inputs/gold/case_0024_20260629_094154_366_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000023_00,1,
case_0025_20260629_094202_889_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000024_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,1257377171,,,inputs/transcripts/case_0025_20260629_094202_889_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000024_00.txt,inputs/wav/case_0025_20260629_094202_889_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000024_00.wav,inputs/gold/case_0025_20260629_094202_889_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000024_00,1,
case_0026_20260629_094209_257_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000025_00,recorded,alfie,existing_corpus_v1,recreation,priestley,2141942841,,,inputs/transcripts/case_0026_20260629_094209_257_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000025_00.txt,inputs/wav/case_0026_20260629_094209_257_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000025_00.wav,inputs/gold/case_0026_20260629_094209_257_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000025_00,1,
