Metric,Value
CaseId,case_000220
Transcript,"Did you know, the Reflecting Pool was built so you could see the Washington Monument and the Lincoln Memorial at the same time?"
PlannedEventCount,41
CommittedEventCount,41
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.6559
EstimatedTextDurationSec,10.7213
AudioDurationSec,6.37687
EffectiveSegmentScaleMax,1.42
ScaleCapHitCount,0
CommitLeadMeanSec,0.726382
MaxVisiblePoseGapSec,0.53334
VisiblePoseGapCountOver250ms,4
