Metric,Value
CaseId,case_000041
Transcript,He ran a bodega too. Taught me how to handle customers and keep the place running.
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.5202
EstimatedTextDurationSec,3.61167
AudioDurationSec,4.77688
EffectiveSegmentScaleMax,1.16815
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0364139
MaxVisiblePoseGapSec,0.516666
VisiblePoseGapCountOver250ms,1
