Metric,Value
CaseId,case_000235
Transcript,Mexico City has the National Palace with beautiful murals by Diego Rivera.
PlannedEventCount,37
CommittedEventCount,37
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.046
EstimatedTextDurationSec,3.01841
AudioDurationSec,5.01687
EffectiveSegmentScaleMax,1.44447
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0209798
MaxVisiblePoseGapSec,0.05
VisiblePoseGapCountOver250ms,0
