index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,09_Oh,costa,0,0,0,0.033333,0.920000,AO,1,cmu_oh_vowel
1,07_Aa,costa,0,0,0,0.100000,0.500000,AA,4,cmu_open_vowel
2,03_Ee,rica,1,0,0,0.152778,0.920000,IY,1,cmu_front_vowel
3,07_Aa,has,2,0,0,0.259259,0.920000,AE,1,cmu_open_vowel
4,22_MBP,plenty,3,0,0,0.308642,1.000000,P,0,cmu_bilabial
5,06_Eh,plenty,3,0,0,0.358025,0.920000,EH,2,cmu_eh_vowel
6,03_Ee,plenty,3,0,0,0.432099,0.500000,IY,5,cmu_front_vowel
7,07_Aa,of,4,0,0,0.462963,0.920000,AH,0,cmu_open_vowel
8,20_FV,of,4,0,0,0.500000,0.960000,V,1,cmu_fv
9,07_Aa,national,5,0,0,0.558201,0.920000,AE,1,cmu_open_vowel
10,14_ChJjSh,national,5,0,0,0.584656,0.820000,SH,2,cmu_affricate_sibilant
11,22_MBP,parks,6,0,0,0.711111,1.000000,P,0,cmu_bilabial
12,07_Aa,parks,6,0,0,0.725926,0.920000,AA,1,cmu_open_vowel
13,07_Aa,and,7,0,0,0.790123,0.500000,AH,0,cmu_open_vowel
14,11_Oo,cute,8,0,0,0.898148,0.920000,UW,2,cmu_oo_vowel
15,09_Oh,sloths,9,0,0,0.962963,0.920000,OW,2,cmu_oh_vowel
