Metric,Value
CaseId,case_000120
Transcript,"Brazil is the only country in the Americas with a tropical rainforest, the Amazon."
PlannedEventCount,40
CommittedEventCount,40
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.01841
EstimatedTextDurationSec,6.59182
AudioDurationSec,4.61688
EffectiveSegmentScaleMax,1.42
ScaleCapHitCount,0
CommitLeadMeanSec,0.095803
MaxVisiblePoseGapSec,0.333333
VisiblePoseGapCountOver250ms,1
