word_index,word,start,end,speech_region_index,sentence_index
0,it's,0.230000,0.390000,0,-1
1,ham,0.390000,0.840000,0,-1
2,turkey,0.970000,1.460000,1,-1
3,swiss,1.550000,1.950000,1,-1
4,cheese,1.950000,2.300000,1,-1
5,and,2.300000,2.530000,1,-1
6,lettuce,2.530000,2.810000,1,-1
7,on,2.810000,2.960000,1,-1
8,rye,2.960000,3.340000,1,-1
9,close,3.660000,4.010000,2,-1
10,enough,4.010000,4.270000,2,-1
11,to,4.270000,4.400000,2,-1
12,roast,4.400000,4.730000,2,-1
13,beef,4.730000,5.030000,2,-1
14,right,5.030000,5.380000,2,-1
