Metric,Value
CaseId,case_000019
Transcript,"I once found aroach in a loaf of bread. Customers weren't happy, but at least it was a good excuse for a free sandwich."
PlannedEventCount,44
CommittedEventCount,44
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.6061
EstimatedTextDurationSec,5.4248
AudioDurationSec,6.05688
EffectiveSegmentScaleMax,1.16803
ScaleCapHitCount,0
CommitLeadMeanSec,0.0372133
MaxVisiblePoseGapSec,0.0999999
VisiblePoseGapCountOver250ms,0
