word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,andorra,0.240000,0.820000,0,-1,-1
1,is,0.850000,0.980000,0,-1,-1
2,the,0.980000,1.140000,0,-1,-1
3,only,1.180000,1.480000,0,-1,-1
4,country,1.480000,1.930000,0,-1,-1
5,in,1.930000,2.020000,0,-1,-1
6,the,2.020000,2.090000,0,-1,-1
7,world,2.090000,2.480000,0,-1,-1
8,where,2.480000,2.600000,0,-1,-1
9,the,2.600000,2.690000,0,-1,-1
10,most,2.690000,3.000000,0,-1,-1
11,common,3.000000,3.370000,0,-1,-1
12,surname,3.370000,3.940000,0,-1,-1
13,martinez,4.140000,4.910000,1,-1,-1
14,is,5.290000,5.430000,2,-1,-1
15,also,5.430000,5.740000,2,-1,-1
16,the,5.740000,5.850000,2,-1,-1
17,name,5.850000,6.170000,2,-1,-1
18,of,6.170000,6.280000,2,-1,-1
19,a,6.280000,6.320000,2,-1,-1
20,town,6.320000,6.760000,2,-1,-1
