ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,09_Oh,hong,0,0,0.170736,0.406537,0.33,0.483074,0.82,0.0865369,0.09,1
1,1,18_Uh,zhu,1,0,0.465108,0.700909,0.624372,0.777446,0.57,0.0609092,0.09,1
2,2,09_Oh,sounds,2,0,0.759481,0.995282,0.918745,1.07182,0.82,0.0752814,0.09,1
3,3,06_Eh,exotic,3,0,0.970016,1.20582,1.14306,1.26858,0.84,0.0858166,0.09,1
4,4,24_Tongue_Th,exotic,3,0,1.13416,1.34582,1.29386,1.39777,0.42,0.0658168,0.09,0.97836
5,5,06_Eh,exotic,3,0,1.16312,1.37579,1.28829,1.46329,0.74,0.0557939,0.09,0.97836
6,6,06_Eh,exotic,3,0,1.27899,1.48915,1.4183,1.56,0.753948,0.0891517,0.09,0.97836
7,7,06_Eh,enjoy,4,1,1.86665,1.8144,1.76,1.8688,0.84,0.0544007,0.09,1
8,8,03_Ee,enjoy,4,1,2.05316,1.9544,1.8669,2.0419,0.86,0.0744008,0.09,1
9,9,03_Ee,enjoy,4,1,2.13865,2.0864,2.02423,2.14857,0.86,0.0864009,0.09,1
10,10,10_Or,your,5,1,2.39299,2.34074,2.25324,2.42824,0.75,0.060739,0.09,1
11,11,06_Eh,time,6,1,2.68147,2.62922,2.55269,2.70576,0.74,-0.477652,0.15,1
12,12,22_MBP,time,6,1,2.69472,2.64247,2.60714,2.67779,1,-0.464405,0.15,1
13,13,24_Tongue_Th,there,7,1,2.85221,2.79996,2.76463,2.83528,0.42,-0.306916,0.15,1
14,14,06_Eh,there,7,1,2.98762,2.93537,2.85589,3.01485,0.74,-0.171505,0.15,1
