index,start,center,end,pose,word,word_index,phrase_index,sentence_index,strength,reason,alignment_reason,source_phone_class,mapped_to_observed_speech
0,0.421600,0.474100,0.526600,22_MBP,mongolia,0,0,0,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
1,0.551500,0.619000,0.686500,07_Aa,mongolia,0,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
2,0.876500,0.944000,1.011500,09_Oh,mongolia,0,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
3,1.166500,1.234000,1.301500,03_Ee,mongolia,0,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
4,2.075000,2.125000,2.175000,20_FV,vast,1,1,1,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
5,2.161500,2.229000,2.296500,07_Aa,vast,1,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
6,2.501500,2.569000,2.636500,06_Eh,steppes,2,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
7,2.567500,2.620000,2.672500,22_MBP,steppes,2,1,1,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
8,2.781500,2.849000,2.916500,07_Aa,and,3,1,1,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
9,3.081500,3.149000,3.216500,09_Oh,nomadic,4,1,1,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
10,3.146500,3.199000,3.251500,22_MBP,nomadic,4,1,1,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
11,3.181500,3.249000,3.316500,07_Aa,nomadic,4,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
12,3.496500,3.564000,3.631500,07_Aa,culture,5,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
13,3.639500,3.687000,3.734500,14_ChJjSh,culture,5,1,1,0.820000,streaming_forced_alignment,streaming_forced_alignment_viterbi,sibilant,1
14,4.353800,4.421300,4.488800,12_Ww-Oo-,want,6,2,2,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
15,4.431500,4.499000,4.566500,07_Aa,want,6,2,2,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
16,4.726500,4.794000,4.861500,07_Aa,some,7,2,2,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
17,4.807500,4.860000,4.912500,22_MBP,some,7,2,2,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
18,4.909500,4.957000,5.004500,14_ChJjSh,chips,8,2,2,0.820000,streaming_forced_alignment,streaming_forced_alignment_viterbi,sibilant,1
19,5.031500,5.099000,5.166500,03_Ee,chips,8,2,2,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
20,5.197500,5.250000,5.302500,22_MBP,chips,8,2,2,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
