Metric,Value
CaseId,case_000163
Transcript,The United Kingdom is where the first red telephone box was invented.
PlannedEventCount,32
CommittedEventCount,32
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.03125
PeakTimingMAEMs,9.37697
EstimatedTextDurationSec,2.66058
AudioDurationSec,3.65687
EffectiveSegmentScaleMax,1.28746
ScaleCapHitCount,0
CommitLeadMeanSec,0.000885627
MaxVisiblePoseGapSec,0.166667
VisiblePoseGapCountOver250ms,0
