Metric,Value
CaseId,case_000249
Transcript,Kinshasa has the largest urban forest in Africa. Enjoy your travels!
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.0667
EstimatedTextDurationSec,2.73128
AudioDurationSec,4.53687
EffectiveSegmentScaleMax,1.26917
ScaleCapHitCount,0
CommitLeadMeanSec,0.0726178
MaxVisiblePoseGapSec,0.470003
VisiblePoseGapCountOver250ms,1
