Metric,Value
CaseId,case_000199
Transcript,Uzbekistan is known for its silk and the ancient city of Samarkand. How can I assist you?
PlannedEventCount,32
CommittedEventCount,32
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.32061
EstimatedTextDurationSec,7.30592
AudioDurationSec,5.17688
EffectiveSegmentScaleMax,1.3875
ScaleCapHitCount,0
CommitLeadMeanSec,0.0384555
MaxVisiblePoseGapSec,0.523329
VisiblePoseGapCountOver250ms,3
