Metric,Value
CaseId,case_000196
Transcript,Turkmenistan has the world's largest gas deposit at its Dasoguz field.
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.5056
EstimatedTextDurationSec,2.39949
AudioDurationSec,4.53687
EffectiveSegmentScaleMax,1.42481
ScaleCapHitCount,0
CommitLeadMeanSec,0.069677
MaxVisiblePoseGapSec,0.806669
VisiblePoseGapCountOver250ms,1
