ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,07_Aa,turkmenistan,0,0,0.0710906,0.39251,0.33,0.45502,0.86,0.0725102,0.09,1.21749
1,1,22_MBP,turkmenistan,0,0,0.148105,0.486275,0.428574,0.543977,1,0.0862753,0.09,1.21749
2,2,14_ChJjSh,turkmenistan,0,0,0.213272,0.565615,0.512722,0.618508,0.72,0.0856151,0.09,1.21749
3,3,07_Aa,turkmenistan,0,0,0.22907,0.584849,0.497349,0.672349,0.86,0.064849,0.09,1.21749
4,4,07_Aa,turkmenistan,0,0,0.345579,0.724849,0.647913,0.801784,0.86,0.0848489,0.09,1.21749
5,5,07_Aa,has,1,0,0.472745,0.881522,0.85376,0.909285,0.86,0.0815223,0.09,1.21749
6,6,24_Tongue_Th,the,2,0,0.549201,0.974607,0.947107,1.00211,0.42,0.054607,0.09,1.21749
7,7,06_Eh,the,2,0,0.612244,1.05136,1.02197,1.08076,0.74,0.0513611,0.09,1.21749
8,8,12_Ww-Oo-,world's,3,0,0.689296,1.14517,1.10888,1.18146,1,0.0651717,0.09,1.21749
9,9,09_Oh,world's,3,0,0.771266,1.24497,1.186,1.30394,0.82,0.0849702,0.09,1.21749
10,10,07_Aa,largest,4,0,0.902206,1.40439,1.36247,1.4463,0.86,0.0843887,0.09,1.21749
11,11,07_Aa,largest,4,0,0.992139,1.51388,1.43604,1.59172,0.86,0.073882,0.09,1.21749
12,12,07_Aa,gas,5,0,1.20347,1.77118,1.71221,1.83015,0.94,0.0511807,0.09,1.21749
13,13,06_Eh,deposit,6,0,1.33671,1.9334,1.88504,1.98175,0.74,0.0533986,0.09,1.21749
14,14,22_MBP,deposit,6,0,1.39083,1.99929,1.95465,2.04393,1,0.0792916,0.09,1.21749
15,15,14_ChJjSh,deposit,6,0,1.4467,2.06731,2.02639,2.10823,0.64,0.06731,0.09,1.21749
16,16,06_Eh,deposit,6,0,1.45892,2.08219,1.99469,2.16969,0.74,0.0821892,0.09,1.21749
17,17,04_Ih,deposit,6,0,1.52177,2.15871,2.09919,2.21823,0.72,0.0787098,0.09,1.21749
18,18,07_Aa,at,7,0,1.66504,2.33314,2.30537,2.3609,0.86,0.0531371,0.09,1.21749
19,19,04_Ih,its,8,0,1.82943,2.53328,2.47431,2.59225,0.543266,0.0532784,0.09,1.21749
20,20,07_Aa,dasoguz,9,0,1.96267,2.6955,2.64714,2.74385,0.86,0.0554965,0.09,1.21749
21,21,14_ChJjSh,dasoguz,9,0,2.07266,2.82941,2.78849,2.87032,0.661,0.0694079,0.09,1.21749
22,22,07_Aa,dasoguz,9,0,2.08488,2.84429,2.75679,2.93179,0.86,0.0842867,0.09,1.21749
23,23,07_Aa,dasoguz,9,0,2.1582,2.98261,2.92387,3.04136,0.86,0.0642869,0.09,1.28182
24,24,20_FV,field,10,0,2.23555,3.19996,3.16902,3.2309,1,0.0696623,0.09,1.38395
25,25,03_Ee,field,10,0,2.32125,3.33996,3.27095,3.40898,0.86,0.0599637,0.09,1.42481
