Metric,Value
CaseId,case_000000
Transcript,"Welcome to Alfie's Bodega. I'm Alfie, your friendly neighborhood shopkeeper."
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,13.0516
EstimatedTextDurationSec,5.37214
AudioDurationSec,4.61688
EffectiveSegmentScaleMax,1.1292
ScaleCapHitCount,0
CommitLeadMeanSec,0.0520124
MaxVisiblePoseGapSec,0.599999
VisiblePoseGapCountOver250ms,2
