ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,12_Ww-Oo-,welcome,0,0,0.0600103,0.449549,0.4,0.499098,1,0.0895492,0.09,1.1009
1,1,06_Eh,welcome,0,0,0.220038,0.589549,0.528989,0.650109,0.74,0.0695492,0.09,1.1009
2,2,07_Aa,welcome,0,0,0.380065,0.729549,0.68,0.779098,0.86,0.0895491,0.09,1.1009
3,3,22_MBP,welcome,0,0,0.450077,0.864561,0.809506,0.919616,1,0.069549,0.09,1.1009
4,4,11_Oo,to,1,0,0.669206,1.12021,1.06316,1.17727,1,0.0802143,0.09,1.1009
5,5,07_Aa,alfie's,2,0,0.852874,1.32241,1.23983,1.405,0.94,0.082415,0.09,1.1009
6,6,20_FV,alfie's,2,0,1.04291,1.46241,1.39635,1.52848,1,0.0624151,0.09,1.1009
7,7,03_Ee,alfie's,2,0,1.16293,1.60241,1.51491,1.68991,0.86,0.0824152,0.09,1.1009
8,8,22_MBP,bodega,3,0,1.32265,1.64235,1.58121,1.70348,1,0.0423465,0.09,0.82
9,9,09_Oh,bodega,3,0,1.45934,1.68235,1.61102,1.75367,0.82,0.0823464,0.09,0.82
10,10,05_Ay,bodega,3,0,1.63331,1.72701,1.67097,1.78306,0.84,0.0870134,0.09,0.82
11,11,07_Aa,bodega,3,0,1.78243,1.84929,1.77287,1.92571,0.94,0.0892891,0.09,0.82
12,12,04_Ih,i'm,4,1,2.51629,2.54243,2.47044,2.61441,0.64,0.062427,0.09,1
13,13,22_MBP,i'm,4,1,2.69056,2.68243,2.63696,2.72789,1,0.0824273,0.09,1
14,14,07_Aa,alfie,5,1,2.8421,2.97397,2.91714,3.0308,0.86,0.0539687,0.09,1
15,15,20_FV,alfie,5,1,2.98607,3.11397,3.0685,3.15943,1,0.0739689,0.09,1
16,16,03_Ee,alfie,5,1,3.07699,3.25397,3.17441,3.33353,0.86,0.0539691,0.09,1
17,17,10_Or,your,6,2,3.89602,3.99882,3.91132,4.08632,0.75,0.0788271,0.09,1.1292
18,18,20_FV,friendly,7,2,4.11485,4.05353,3.97755,4.12951,1,-0.813344,0.15,1.1292
19,19,24_Tongue_Th,friendly,7,2,4.33913,4.19353,4.12388,4.26318,0.42,-0.673345,0.15,1.1292
20,20,03_Ee,friendly,7,2,4.37277,4.2398,4.1523,4.3273,0.86,-0.627074,0.15,1.1292
21,21,03_Ee,friendly,7,2,4.50734,4.3798,4.2923,4.4673,0.86,-0.487074,0.15,1.1292
22,22,11_Oo,neighborhood,8,2,4.73101,4.64433,4.55683,4.73183,1,-0.222544,0.15,1.1292
23,23,22_MBP,neighborhood,8,2,4.92082,4.78433,4.69683,4.87183,1,-0.0825443,0.15,1.1292
24,24,24_Tongue_Th,neighborhood,8,2,4.96287,4.89138,4.80668,4.97609,0.42,0.0299411,0.15,1.1292
25,25,11_Oo,neighborhood,8,2,5.00379,4.95235,4.86485,5.03985,0.94,0.0854726,0.15,1.1292
26,26,11_Oo,neighborhood,8,2,5.17654,5.09235,5.00485,5.17985,1,0.225472,0.15,1.1292
27,27,14_ChJjSh,shopkeeper,9,2,5.37203,5.36817,5.28067,5.45567,0.805171,0.501297,0.15,1.1292
28,28,22_MBP,shopkeeper,9,2,5.52888,5.50817,5.42067,5.59567,1,0.641296,0.15,1.1292
29,29,03_Ee,shopkeeper,9,2,5.68572,5.64817,5.56067,5.73567,0.86,0.781296,0.15,1.1292
30,30,06_Eh,shopkeeper,9,2,5.86644,5.78817,5.70067,5.87567,0.88,0.921296,0.15,1.1292
