Metric,Value
CaseId,case_000167
Transcript,Slovakia is where the world's longest underground river was discovered.
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.05919
EstimatedTextDurationSec,4.96503
AudioDurationSec,4.05688
EffectiveSegmentScaleMax,1.4175
ScaleCapHitCount,0
CommitLeadMeanSec,0.399913
MaxVisiblePoseGapSec,0.286669
VisiblePoseGapCountOver250ms,1
