Metric,Value
CaseId,case_000208
Transcript,Malaysia has stunning beaches and delicious food. What can I offer you today?
PlannedEventCount,32
CommittedEventCount,32
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.03125
PeakTimingMAEMs,12.2536
EstimatedTextDurationSec,3.1726
AudioDurationSec,4.77688
EffectiveSegmentScaleMax,1.21551
ScaleCapHitCount,0
CommitLeadMeanSec,0.0697103
MaxVisiblePoseGapSec,0.413333
VisiblePoseGapCountOver250ms,1
