Metric,Value
CaseId,case_000231
Transcript,"Karachi has the largest mangroves in Pakistan, near Everglades National Park in Florida!"
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.6027
EstimatedTextDurationSec,6.76922
AudioDurationSec,5.17688
EffectiveSegmentScaleMax,1.23918
ScaleCapHitCount,0
CommitLeadMeanSec,0.211721
MaxVisiblePoseGapSec,0.933333
VisiblePoseGapCountOver250ms,1
