Metric,Value
CaseId,case_000205
Transcript,Myanmar has beautiful temples and the Bago Yoma mountain range. What can I offer you today?
PlannedEventCount,38
CommittedEventCount,38
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.4453
EstimatedTextDurationSec,3.96944
AudioDurationSec,5.41687
EffectiveSegmentScaleMax,1.29165
ScaleCapHitCount,0
CommitLeadMeanSec,0.0413619
MaxVisiblePoseGapSec,0.166669
VisiblePoseGapCountOver250ms,0
