word_index,word,start,end,speech_region_index,sentence_index
0,we,0.120000,0.270000,0,-1
1,don't,0.270000,0.480000,0,-1
2,do,0.480000,0.650000,0,-1
3,favors,0.650000,1.310000,0,-1
4,but,1.410000,1.610000,0,-1
5,if,1.610000,1.760000,0,-1
6,you're,1.760000,1.930000,0,-1
7,nice,1.930000,2.240000,0,-1
8,about,2.240000,2.540000,0,-1
9,it,2.540000,2.730000,0,-1
10,i,2.770000,2.910000,0,-1
11,might,2.910000,3.130000,0,-1
12,consider,3.130000,3.630000,0,-1
13,it,3.630000,3.830000,0,-1
14,what,4.110000,4.340000,1,-1
15,do,4.340000,4.420000,1,-1
16,you,4.420000,4.560000,1,-1
17,have,4.560000,4.820000,1,-1
18,in,4.820000,4.940000,1,-1
19,mind,4.940000,5.430000,1,-1
