word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,maybe,0.000000,0.450000,0,-1,-1
1,try,0.450000,0.770000,0,-1,-1
2,the,0.770000,0.880000,0,-1,-1
3,horse,0.880000,1.260000,0,-1,-1
4,riding,1.260000,1.570000,0,-1,-1
5,in,1.570000,1.650000,0,-1,-1
6,almaty,1.650000,2.160000,0,-1,-1
7,or,2.160000,2.370000,0,-1,-1
8,visit,2.370000,2.700000,0,-1,-1
9,the,2.700000,2.780000,0,-1,-1
10,kokshetau,2.780000,3.360000,0,-1,-1
11,observatory,3.360000,4.160000,0,-1,-1
12,want,4.580000,4.800000,1,-1,-1
13,a,4.800000,4.830000,1,-1,-1
14,sandwich,4.830000,5.440000,1,-1,-1
