Metric,Value
CaseId,case_000016
Transcript,"There was this regular customer who always got the turkey sandwich. One day, he didn't come back. I found out he moved away. It felt like losing a part of the bodega."
PlannedEventCount,60
CommittedEventCount,60
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.85578
EstimatedTextDurationSec,8.2537
AudioDurationSec,9.09688
EffectiveSegmentScaleMax,1.23866
ScaleCapHitCount,0
CommitLeadMeanSec,0.0247233
MaxVisiblePoseGapSec,0.500007
VisiblePoseGapCountOver250ms,1
