Metric,Value
CaseId,case_000147
Transcript,Western Sahara is known for its vast desert landscapes and the dispute over its sovereignty.
PlannedEventCount,33
CommittedEventCount,33
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,12.1068
EstimatedTextDurationSec,7.29716
AudioDurationSec,5.49687
EffectiveSegmentScaleMax,1.42
ScaleCapHitCount,0
CommitLeadMeanSec,0.483942
MaxVisiblePoseGapSec,0.513327
VisiblePoseGapCountOver250ms,3
