word_index,word,start,end,speech_region_index,sentence_index
0,it,0.530000,0.730000,0,-1
1,analyzes,0.730000,1.380000,0,-1
2,text,1.380000,2.030000,0,-1
3,creates,2.230000,2.670000,1,-1
4,animations,2.700000,3.590000,1,-1
5,and,3.950000,4.150000,2,-1
6,matches,4.150000,4.580000,2,-1
7,them,4.580000,4.770000,2,-1
8,with,4.770000,4.900000,2,-1
9,the,4.900000,5.040000,2,-1
10,audio,5.090000,5.540000,2,-1
11,using,5.540000,5.960000,2,-1
12,a,5.960000,6.000000,2,-1
13,neural,6.000000,6.350000,2,-1
14,matcher,6.350000,6.890000,2,-1
15,want,7.610000,7.870000,3,-1
16,to,7.870000,7.960000,3,-1
17,see,7.960000,8.330000,3,-1
