ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,22_MBP,buenos,0,0,0.0278819,0.62067,0.59,0.65134,1,0.0606701,0.09,1.1
1,1,11_Oo,buenos,0,0,0.0844906,0.68294,0.643905,0.721974,0.94,0.0829397,0.09,1.1
2,2,11_Oo,buenos,0,0,0.147014,0.751715,0.679222,0.824208,0.94,0.071715,0.09,1.1
3,3,09_Oh,buenos,0,0,0.190104,0.799114,0.754503,0.843725,0.82,0.0791142,0.09,1.1
4,4,05_Ay,aires,1,0,0.304166,0.924583,0.885548,0.963618,0.84,0.0845827,0.09,1.1
5,5,05_Ay,aires,1,0,0.400485,1.03053,0.958041,1.10303,0.84,0.0705339,0.09,1.1
6,6,06_Eh,aires,1,0,0.430902,1.06399,1.01938,1.1086,0.74,0.0639921,0.09,1.1
7,7,07_Aa,has,2,0,0.587133,1.23585,1.20835,1.26335,0.86,0.0758463,0.09,1.1
8,8,24_Tongue_Th,the,3,0,0.66594,1.32253,1.29503,1.35003,0.42,0.0825337,0.09,1.1
9,9,06_Eh,the,3,0,0.730921,1.39401,1.36651,1.42151,0.74,0.0740129,0.09,1.1
10,10,09_Oh,caminito,4,0,0.856735,1.65983,1.59275,1.7269,0.82,0.0758721,0.09,1.26745
11,11,22_MBP,caminito,4,0,0.910674,1.74424,1.68232,1.80615,1,0.064238,0.09,1.26745
12,12,24_Tongue_Th,caminito,4,0,0.995146,1.8513,1.79454,1.90806,0.42,0.0513016,0.09,1.26745
13,13,09_Oh,caminito,4,0,1.01957,1.88226,1.79476,1.96976,0.82,0.0822598,0.09,1.26745
14,14,09_Oh,caminito,4,0,1.15798,2.02226,1.9397,2.10481,0.82,0.06226,0.09,1.26745
15,15,03_Ee,street,5,0,1.30192,2.3062,2.23751,2.37489,0.86,0.080308,0.09,1.37589
16,16,09_Oh,colorful,6,1,1.8504,2.75706,2.71051,2.80362,0.82,0.077065,0.09,1.03603
17,17,10_Or,colorful,6,1,1.96792,2.89706,2.84608,2.94805,0.22,0.0570652,0.09,1.05368
18,18,09_Oh,colorful,6,1,1.98866,2.94244,2.85494,3.02994,0.82,0.0624371,0.09,1.05721
19,19,20_FV,colorful,6,1,2.02582,2.98172,2.93787,3.02557,1,0.0617197,0.09,1.05721
20,20,18_Uh,colorful,6,1,2.06902,3.07371,3.01208,3.13534,0.72,-0.833165,0.15,1.11442
21,21,07_Aa,and,7,1,2.21402,3.2353,3.2078,3.2628,0.86,-0.671576,0.15,1.11442
22,22,03_Ee,lively,8,1,2.32877,3.36318,3.31756,3.40881,0.86,-0.543692,0.15,1.11442
23,23,20_FV,lively,8,1,2.4033,3.44624,3.40413,3.48836,1,-0.460633,0.15,1.11442
24,24,03_Ee,lively,8,1,2.45474,3.50356,3.41606,3.59106,0.86,-0.403311,0.15,1.11442
25,25,03_Ee,lively,8,1,2.53032,3.58779,3.53515,3.64044,0.86,-0.319082,0.15,1.11442
