index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,03_Ee,libya,0,0,0,0.066667,0.920000,IH,1,cmu_front_vowel
1,22_MBP,libya,0,0,0,0.111111,1.000000,B,2,cmu_bilabial
2,03_Ee,libya,0,0,0,0.155556,0.920000,IY,3,cmu_front_vowel
3,06_Eh,desert,1,1,1,0.272222,0.920000,EH,1,cmu_eh_vowel
4,07_Aa,and,2,1,1,0.407407,0.500000,AH,0,cmu_open_vowel
5,03_Ee,cities,3,1,1,0.550000,0.920000,IH,1,cmu_front_vowel
6,12_Ww-Oo-,want,4,2,2,0.680556,0.880000,W,0,cmu_w
7,07_Aa,want,4,2,2,0.708333,0.920000,AA,1,cmu_open_vowel
8,07_Aa,some,5,2,2,0.833333,0.920000,AH,1,cmu_open_vowel
9,22_MBP,some,5,2,2,0.870370,1.000000,M,2,cmu_bilabial
10,14_ChJjSh,chips,6,2,2,0.902778,0.820000,CH,0,cmu_affricate_sibilant
11,03_Ee,chips,6,2,2,0.930556,0.920000,IH,1,cmu_front_vowel
12,22_MBP,chips,6,2,2,0.958333,1.000000,P,2,cmu_bilabial
