Metric,Value
CaseId,case_000212
Transcript,Japan is known for its cherry blossoms and bullet trains. What would you like to eat today?
PlannedEventCount,32
CommittedEventCount,32
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.1859
EstimatedTextDurationSec,3.81393
AudioDurationSec,6.05688
EffectiveSegmentScaleMax,1.35931
ScaleCapHitCount,0
CommitLeadMeanSec,0.0679653
MaxVisiblePoseGapSec,0.896656
VisiblePoseGapCountOver250ms,2
