index,start,center,end,pose,word,word_index,phrase_index,sentence_index,strength,reason,alignment_reason,source_phone_class,mapped_to_observed_speech
0,0.039200,0.106700,0.174200,12_Ww-Oo-,welcome,0,0,0,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
1,0.116500,0.184000,0.251500,06_Eh,welcome,0,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
2,0.472500,0.525000,0.577500,22_MBP,welcome,0,0,0,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
3,0.656500,0.724000,0.791500,11_Oo,to,1,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
4,0.821500,0.889000,0.956500,07_Aa,alfie's,2,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
5,1.040000,1.090000,1.140000,20_FV,alfie's,2,0,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
6,1.176500,1.244000,1.311500,03_Ee,alfie's,2,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
7,1.372500,1.425000,1.477500,22_MBP,bodega,3,0,0,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
8,1.521500,1.589000,1.656500,09_Oh,bodega,3,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
9,1.721500,1.789000,1.856500,06_Eh,bodega,3,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
10,2.471500,2.539000,2.606500,07_Aa,how,4,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
11,2.676500,2.744000,2.811500,07_Aa,can,5,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
12,2.884000,2.939000,2.994000,05_Ay,i,6,1,1,0.940000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
13,3.056500,3.124000,3.191500,06_Eh,help,7,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
14,3.222500,3.275000,3.327500,22_MBP,help,7,1,1,1.000000,streaming_forced_alignment,streaming_forced_alignment_viterbi,bilabial,1
15,3.431500,3.499000,3.566500,11_Oo,you,8,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_round,1
16,3.901500,3.969000,4.036500,06_Eh,today,9,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
