index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,12_Ww-Oo-,welcome,0,0,0,0.012346,0.880000,W,0,cmu_w
1,06_Eh,welcome,0,0,0,0.037037,0.920000,EH,1,cmu_eh_vowel
2,22_MBP,welcome,0,0,0,0.135802,1.000000,M,5,cmu_bilabial
3,11_Oo,to,1,0,0,0.203704,0.920000,UW,1,cmu_oo_vowel
4,07_Aa,alfie's,2,0,0,0.233333,0.920000,AE,0,cmu_open_vowel
5,20_FV,alfie's,2,0,0,0.277778,0.960000,F,2,cmu_fv
6,03_Ee,alfie's,2,0,0,0.300000,0.500000,IY,3,cmu_front_vowel
7,22_MBP,bodega,3,0,0,0.348765,1.000000,B,0,cmu_bilabial
8,09_Oh,bodega,3,0,0,0.379630,0.500000,OW,1,cmu_oh_vowel
9,06_Eh,bodega,3,0,0,0.441358,0.920000,EY,3,cmu_eh_vowel
10,07_Aa,how,4,1,1,0.574074,0.920000,AW,1,cmu_open_vowel
11,07_Aa,can,5,1,1,0.629630,0.920000,AE,1,cmu_open_vowel
12,05_Ay,i,6,1,1,0.703704,0.940000,AY,0,cmu_ay
13,06_Eh,help,7,1,1,0.768519,0.920000,EH,1,cmu_eh_vowel
14,22_MBP,help,7,1,1,0.805556,1.000000,P,3,cmu_bilabial
15,11_Oo,you,8,1,1,0.870370,0.920000,UW,1,cmu_oo_vowel
16,06_Eh,today,9,1,1,0.985278,0.920000,EY,3,cmu_eh_vowel
