word_index,word,start,end,speech_region_index,sentence_index
0,the,0.030000,0.280000,0,-1
1,average,0.370000,0.900000,0,-1
2,person,0.900000,1.390000,0,-1
3,eats,1.420000,1.700000,0,-1
4,one,1.700000,2.090000,0,-1
5,hundred,2.090000,2.430000,0,-1
6,eighty,2.470000,2.700000,0,-1
7,one,2.700000,3.000000,0,-1
8,sandwiches,3.000000,3.640000,0,-1
9,a,3.640000,3.690000,0,-1
10,year,3.690000,4.110000,0,-1
11,quite,5.070000,5.390000,1,-1
12,a,5.390000,5.450000,1,-1
13,bite,5.450000,5.890000,1,-1
