Metric,Value
CaseId,case_000127
Transcript,"Botswana is home to the Okavango Delta, a vast inland delta that's a major wildlife habitat."
PlannedEventCount,39
CommittedEventCount,39
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.42807
EstimatedTextDurationSec,4.35943
AudioDurationSec,5.89687
EffectiveSegmentScaleMax,1.17735
ScaleCapHitCount,0
CommitLeadMeanSec,0.0308325
MaxVisiblePoseGapSec,0.116667
VisiblePoseGapCountOver250ms,0
