Metric,Value
CaseId,case_000247
Transcript,Los Angeles has sunny beaches and Hollywood glamour. Enjoy your visit!
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.4355
EstimatedTextDurationSec,2.79671
AudioDurationSec,4.13688
EffectiveSegmentScaleMax,1.23362
ScaleCapHitCount,0
CommitLeadMeanSec,0.0678494
MaxVisiblePoseGapSec,0.340003
VisiblePoseGapCountOver250ms,1
