Metric,Value
CaseId,case_000047
Transcript,I hope that rumor is false. We pay our taxes like any good citizens. What would you like to buy?
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.95678
EstimatedTextDurationSec,4.84389
AudioDurationSec,6.13688
EffectiveSegmentScaleMax,1.13157
ScaleCapHitCount,0
CommitLeadMeanSec,0.0567438
MaxVisiblePoseGapSec,0.21667
VisiblePoseGapCountOver250ms,0
