Metric,Value
CaseId,case_000028
Transcript,"We've got fresh tomatoes, cucumbers, and lettuce for your sandwiches."
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,13.1296
EstimatedTextDurationSec,4.74692
AudioDurationSec,3.81687
EffectiveSegmentScaleMax,1.18383
ScaleCapHitCount,0
CommitLeadMeanSec,0.185315
MaxVisiblePoseGapSec,0.716666
VisiblePoseGapCountOver250ms,2
