Metric,Value
CaseId,case_000033
Transcript,We've got chips and a few kinds of candy. Want to try something?
PlannedEventCount,25
CommittedEventCount,25
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.04
PeakTimingMAEMs,12.0107
EstimatedTextDurationSec,2.73819
AudioDurationSec,3.65687
EffectiveSegmentScaleMax,1.24863
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0437103
MaxVisiblePoseGapSec,0.133333
VisiblePoseGapCountOver250ms,0
