Metric,Value
CaseId,case_000014
Transcript,Why don't some couples go to the gym? Because some relationships don't work out!
PlannedEventCount,27
CommittedEventCount,27
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.9479
EstimatedTextDurationSec,3.23546
AudioDurationSec,4.05688
EffectiveSegmentScaleMax,1.30682
ScaleCapHitCount,0
CommitLeadMeanSec,0.00242554
MaxVisiblePoseGapSec,0.25
VisiblePoseGapCountOver250ms,0
