EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,12_Ww-Oo-,WUH,why,0,0,0,0.0196825,0.0318411,1,SimpleBudgetV1
1,05_Ay,EEE,why,0,0,0.0234921,0.0526984,0.123256,0.84,SimpleBudgetV1
2,09_Oh,OOO,don't,1,0,0.0838095,0.116825,0.324573,0.82,SimpleBudgetV1
3,06_Eh,EEE,some,2,0,0.147302,0.180317,0.529999,0.74,SimpleBudgetV1
4,22_MBP,MBP,some,2,0,0.159048,0.174286,0.539244,1,SimpleBudgetV1
5,09_Oh,OOO,couples,3,0,0.202688,0.226155,0.693753,0.82,SimpleBudgetV1
6,22_MBP,MBP,couples,3,0,0.222324,0.242438,0.75186,1,SimpleBudgetV1
7,09_Oh,OOO,couples,3,0,0.217295,0.260876,0.773553,0.82,SimpleBudgetV1
8,06_Eh,EEE,couples,3,0,0.242917,0.269736,0.829335,0.74,SimpleBudgetV1
9,09_Oh,OOO,go,4,0,0.294603,0.327619,1.00659,0.82,SimpleBudgetV1
10,11_Oo,OOO,to,5,0,0.357435,0.374806,1.18457,0.94,SimpleBudgetV1
11,24_Tongue_Th,FVS,the,6,0,0.385349,0.395349,1.26296,0.42,SimpleBudgetV1
12,06_Eh,EEE,the,6,0,0.403606,0.420063,1.33248,0.74,SimpleBudgetV1
13,06_Eh,EEE,gym,7,0,0.449524,0.48254,1.50783,0.74,SimpleBudgetV1
14,22_MBP,MBP,gym,7,0,0.474497,0.489735,1.55987,1,SimpleBudgetV1
15,22_MBP,MBP,because,8,1,0.525943,0.546057,1.73421,1,SimpleBudgetV1
16,07_Aa,AAA,because,8,1,0.554438,0.598019,1.86437,0.86,SimpleBudgetV1
17,06_Eh,EEE,some,9,1,0.631746,0.664762,2.0974,0.74,SimpleBudgetV1
18,22_MBP,MBP,some,9,1,0.643492,0.65873,2.10665,1,SimpleBudgetV1
19,06_Eh,EEE,relationships,10,1,0.671607,0.709296,2.23393,0.74,SimpleBudgetV1
20,07_Aa,AAA,relationships,10,1,0.717994,0.787987,2.43627,0.86,SimpleBudgetV1
21,14_ChJjSh,FVS,relationships,10,1,0.747813,0.780118,2.47178,0.682,SimpleBudgetV1
22,22_MBP,MBP,relationships,10,1,0.77784,0.810145,2.56893,1,SimpleBudgetV1
23,09_Oh,OOO,don't,11,1,0.829841,0.862857,2.73833,0.82,SimpleBudgetV1
24,12_Ww-Oo-,WUH,work,12,1,0.871746,0.892063,2.85337,1,SimpleBudgetV1
25,09_Oh,OOO,work,12,1,0.893333,0.926349,2.94376,0.82,SimpleBudgetV1
26,09_Oh,OOO,out,13,1,0.956825,0.989841,3.14918,0.82,SimpleBudgetV1
