Metric,Value
CaseId,case_000200
Transcript,"Tajikistan is famous for its stunning natural beauty, including the Pamir Mountains. How can I help you today?"
PlannedEventCount,44
CommittedEventCount,44
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0227273
PeakTimingMAEMs,10.2165
EstimatedTextDurationSec,9.2862
AudioDurationSec,6.69688
EffectiveSegmentScaleMax,1.34962
ScaleCapHitCount,0
CommitLeadMeanSec,0.142694
MaxVisiblePoseGapSec,0.800009
VisiblePoseGapCountOver250ms,1
