Metric,Value
CaseId,case_000203
Transcript,Mongolia is known for its vast grasslands and the Erdene Zuu Monastery. How can I assist you today?
PlannedEventCount,32
CommittedEventCount,32
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.29588
EstimatedTextDurationSec,8.28274
AudioDurationSec,6.29688
EffectiveSegmentScaleMax,1.3725
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0425918
MaxVisiblePoseGapSec,0.883345
VisiblePoseGapCountOver250ms,2
